t,x,y
0.0,0.0,0.0
0.004,0.0,0.0
0.008,0.0,0.0
0.012,0.0,0.0
0.016,0.0,0.0
0.02,0.0,0.0
0.024,0.0,0.0
0.028,0.0,0.0
0.032,0.0,0.0
0.036,0.0,0.0
0.04,0.0,0.0
0.044,0.0,0.0
0.048,0.0,0.0
0.052,0.0,0.0
0.056,0.0,0.0
0.06,0.0,0.0
0.064,0.0,0.0
0.068,0.0,0.0
0.072,0.0,0.0
0.076,0.0,0.0
0.08,0.0,0.0
0.084,0.0,0.0
0.088,0.0,0.0
0.092,0.0,0.0
0.096,0.0,0.0
0.1,0.0,0.0
0.104,0.0,0.0
0.108,0.0,0.0
0.112,0.0,0.0
0.116,0.0,0.0
0.12,0.0,0.0
0.124,0.0,0.0
0.128,0.0,0.0
0.132,0.0,0.0
0.136,0.0,0.0
0.14,0.0,0.0
0.144,0.0,0.0
0.148,0.0,0.0
0.152,0.0,0.0
0.156,0.0,0.0
0.16,0.0,0.0
0.164,0.0,0.0
0.168,0.0,0.0
0.172,0.0,0.0
0.176,0.0,0.0
0.18,0.0,0.0
0.184,0.0,0.0
0.188,0.0,0.0
0.192,0.0,0.0
0.196,0.0,0.0
0.2,0.0,0.0
0.204,0.0,0.0
0.208,0.0,0.0
0.212,0.0,0.0
0.216,0.0,0.0
0.22,0.0,0.0
0.224,0.0,0.0
0.228,0.0,0.0
0.232,0.0,0.0
0.236,0.0,0.0
0.24,0.0,0.0
0.244,0.0,0.0
0.248,0.0,0.0
0.252,0.0,0.0
0.256,0.0,0.0
0.26,0.0,0.0
0.264,0.0,0.0
0.268,0.0,0.0
0.272,0.0,0.0
0.276,0.0,0.0
0.28,0.0,0.0
0.284,0.0,0.0
0.288,0.0,0.0
0.292,0.0,0.0
0.296,0.0,0.0
0.3,0.0,-0.0
0.304,0.06525883105351722,-0.0
0.308,0.4490503008363811,-0.0
0.312,1.2892189430677234,-0.0
0.316,2.5671371180557716,-0.0
0.32,4.1524113479581,-0.0
0.324,5.847588652041895,-0.0
0.328,7.432862881944225,-0.0
0.332,8.710781056932282,-0.0
0.336,9.550949699163622,-0.0
0.34,9.934741168946477,-0.0
0.344,10.0,-0.0
0.348,10.0,-0.0
0.352,10.0,-0.0
0.356,10.0,-0.0
0.36,10.0,-0.0
0.364,10.0,-0.0
0.368,10.0,-0.0
0.372,10.0,-0.0
0.376,10.0,-0.0
0.38,10.0,-0.0
0.384,10.0,-0.0
0.388,10.0,-0.0
0.392,10.0,-0.0
0.396,10.0,-0.0
0.4,10.0,-0.0
0.404,10.0,-0.0
0.408,10.0,-0.0
0.412,10.0,-0.0
0.416,10.0,-0.0
0.42,10.0,-0.0
0.424,10.0,-0.0
0.428,10.0,-0.0
0.432,10.0,-0.0
0.436,10.0,-0.0
0.44,10.0,-0.0
0.444,10.0,-0.0
0.448,10.0,-0.0
0.452,10.0,-0.0
0.456,10.0,-0.0
0.46,10.0,-0.0
0.464,10.0,-0.0
0.468,10.0,-0.0
0.472,10.0,-0.0
0.476,10.0,-0.0
0.48,10.0,-0.0
0.484,10.0,-0.0
0.488,10.0,-0.0
0.492,10.0,-0.0
0.496,10.0,-0.0
0.5,10.0,-0.0
0.504,10.0,-0.0
0.508,10.0,-0.0
0.512,10.0,-0.0
0.516,10.0,-0.0
0.52,10.0,-0.0
0.524,10.0,-0.0
0.528,10.0,-0.0
0.532,10.0,-0.0
0.536,10.0,-0.0
0.54,10.0,-0.0
0.544,10.0,-0.0
0.548,10.0,-0.0
0.552,10.0,-0.0
0.556,10.0,-0.0
0.56,10.0,-0.0
0.564,10.0,-0.0
0.568,10.0,-0.0
0.572,10.0,-0.0
0.576,10.0,-0.0
0.58,10.0,-0.0
0.584,10.0,-0.0
0.588,10.0,-0.0
0.592,10.0,-0.0
0.596,10.0,-0.0
0.6,10.0,-0.0
0.604,10.0,-0.0
0.608,10.0,-0.0
0.612,10.0,-0.0
0.616,10.0,-0.0
0.62,10.0,-0.0
0.624,10.0,-0.0
0.628,10.0,-0.0
0.632,10.0,-0.0
0.636,10.0,-0.0
0.64,10.0,-0.0
0.644,10.0,-0.0
